山西龙江保险公估有限公司	保险公估机构	2019-7-26	请选择	
中国工商银行股份有限公司阳泉郊区支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同城区支行	保险兼业代理	未知	 	
中国建设银行股份有限公司朔州王坪矿区分理处	保险兼业代理	未知	 	
中国工商银行股份有限公司大同御河南路支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同广场支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同新建路支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同御河北路支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同御锦源支行	保险兼业代理	未知	 	
中国工商银行股份有限公司大同魏都支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原迎泽支行	保险兼业代理	未知	 	
中国工商银行股份有限公司太原小店支行	保险兼业代理	未知	 	
中国工商银行股份有限公司晋城泽州支行	保险兼业代理	未知	 	
中国工商银行股份有限公司晋城牡丹支行	保险兼业代理	未知	 	
中国工商银行股份有限公司晋城巴公支行	保险兼业代理	未知	 	
中国工商银行股份有限公司晋城广场支行	保险兼业代理	未知	 	
中国工商银行股份有限公司阳城支行	保险兼业代理	未知	 	
中国工商银行股份有限公司晋城凤翔支行	保险兼业代理	未知	 	
中国工商银行股份有限公司高平支行	保险兼业代理	未知	 	
中国工商银行股份有限公司沁水支行	保险兼业代理	未知	 	
中国工商银行股份有限公司山阴支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州振华支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州城建支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州平鲁支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州新城支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州朔城支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州神头支行	保险兼业代理	未知	 	
中国工商银行股份有限公司怀仁支行	保险兼业代理	未知	 	
中国工商银行股份有限公司应县支行	保险兼业代理	未知	 	
中国工商银行股份有限公司朔州牡丹支行	保险兼业代理	未知	 	
中国工商银行股份有限公司文水支行	保险兼业代理	未知	 	
中国银行股份有限公司河津支行	保险兼业代理	未知	 	
中国银行股份有限公司盂县支行	保险兼业代理	未知	 	
中国银行股份有限公司大同北岳支行	保险兼业代理	未知	 	
中国银行股份有限公司阳泉滨河支行	保险兼业代理	未知	 	
中国银行股份有限公司阳泉德胜街支行	保险兼业代理	未知	 	
中国银行股份有限公司阳泉矿区支行	保险兼业代理	未知	 	
中国银行股份有限公司太原滨河支行	保险兼业代理	未知	 	
中国银行股份有限公司大同操场城支行	保险兼业代理	未知	 	
中国银行股份有限公司大同北关支行	保险兼业代理	未知	 	
中国银行股份有限公司太原漪汾支行	保险兼业代理	未知	 	
中国银行股份有限公司太原高新技术开发区支行	保险兼业代理	未知	 	
中国银行股份有限公司太原平阳支行	保险兼业代理	未知	 	
中国银行股份有限公司太原学府街支行	保险兼业代理	未知	 	
中国银行股份有限公司太原桃园支行	保险兼业代理	未知	 	
中国银行股份有限公司太原并州支行	保险兼业代理	未知	 	
中国银行股份有限公司太原南城支行	保险兼业代理	未知	 	
中国银行股份有限公司阳泉城区支行	保险兼业代理	未知	 	
中国银行股份有限公司大同西环路支行	保险兼业代理	未知	 	
中国银行股份有限公司太原山大支行	保险兼业代理	未知	 	
中国银行股份有限公司太原双塔东街支行	保险兼业代理	未知	 	
中国银行股份有限公司太原长治路支行	保险兼业代理	未知	 	
中国银行股份有限公司太原太航支行	保险兼业代理	未知	 	
中国银行股份有限公司太原长风街支行	保险兼业代理	未知	 	
中国银行股份有限公司太原西里街支行	保险兼业代理	未知	 	
中国银行股份有限公司太原新建南路支行	保险兼业代理	未知	 	
中国银行股份有限公司太原亲贤街支行	保险兼业代理	未知	 	
中国银行股份有限公司清徐支行	保险兼业代理	未知	 	
中国银行股份有限公司大同市分行	保险兼业代理	未知	 	
中国银行股份有限公司大同南郊支行	保险兼业代理	未知	 	
中国银行股份有限公司阳泉市分行	保险兼业代理	未知	 	
中国银行股份有限公司阳泉平定支行	保险兼业代理	未知	 	
中国银行股份有限公司晋城市分行	保险兼业代理	未知	 	
中国银行股份有限公司侯马支行	保险兼业代理	未知	 	
中国银行股份有限公司霍州支行	保险兼业代理	未知	 	
中国银行股份有限公司永济支行	保险兼业代理	未知	 	
中国银行股份有限公司古交支行	保险兼业代理	未知	 	
中国银行股份有限公司太原南内环街支行	保险兼业代理	未知	 	
中国银行股份有限公司大同新建南路支行	保险兼业代理	未知	 	
中国银行股份有限公司大同苹果园支行	保险兼业代理	未知	 	
中国银行股份有限公司大同北都支行	保险兼业代理	未知	 	
中国银行股份有限公司临汾市分行	保险兼业代理	未知	 	
中国银行股份有限公司洪洞支行	保险兼业代理	未知	 	
阳曲县邮政局	保险兼业代理	未知	 	
屯留县邮政局	保险兼业代理	未知	 	
山西省邮政公司朔州市分公司	保险兼业代理	未知	 	
稷山县邮政局	保险兼业代理	未知	 	
山西省邮政公司长治市分公司	保险兼业代理	未知	 	
隰县邮政局	保险兼业代理	未知	 	
长治县邮政局	保险兼业代理	未知	 	
柳林县邮政局	保险兼业代理	未知	 	
方山县邮政局	保险兼业代理	未知	 	
昔阳县邮政局	保险兼业代理	未知	 	
太谷县邮政局	保险兼业代理	未知	 	
山西省邮政公司太原市分公司	保险兼业代理	未知	 	
左云县邮政局	保险兼业代理	未知	 	
陵川县邮政局	保险兼业代理	未知	 	
娄烦县邮政局	保险兼业代理	未知	 	
浑源县邮政局	保险兼业代理	未知	 	
灵丘县邮政局	保险兼业代理	未知	 	
长子县邮政局	保险兼业代理	未知	 	
壶关县邮政局	保险兼业代理	未知	 	
平顺县邮政局	保险兼业代理	未知	 	
潞城市邮政局	保险兼业代理	未知	 	
黎城县邮政局	保险兼业代理	未知	 	
沁县邮政局	保险兼业代理	未知	 	
武乡县邮政局	保险兼业代理	未知	 	
沁水县邮政局	保险兼业代理	未知	 	
阳城县邮政局	保险兼业代理	未知	 	
高平市邮政局	保险兼业代理	未知	 	
朔州市平鲁区邮政局	保险兼业代理	未知	 	
应县邮政局	保险兼业代理	未知	 	
平定县邮政局	保险兼业代理	未知	 	
盂县邮政局	保险兼业代理	未知	 	
灵石县邮政局	保险兼业代理	未知	 	
安泽县邮政局	保险兼业代理	未知	 	
浮山县邮政局	保险兼业代理	未知	 	
兴县邮政局	保险兼业代理	未知	 	
岚县邮政局	保险兼业代理	未知	 	
中阳县邮政局	保险兼业代理	未知	 	
交口县邮政局	保险兼业代理	未知	 	
天镇县邮政局	保险兼业代理	未知	 	
襄垣县邮政局	保险兼业代理	未知	 	
沁源县邮政局	保险兼业代理	未知	 	
祁县邮政局	保险兼业代理	未知	 	
左权县邮政局	保险兼业代理	未知	 	
山西省邮政公司晋中市分公司	保险兼业代理	未知	 	
山西省邮政公司阳泉市分公司	保险兼业代理	未知	 	
襄汾县邮政局	保险兼业代理	未知	 	
汾西县邮政局	保险兼业代理	未知	 	
绛县邮政局	保险兼业代理	未知	 	
河津市邮政局	保险兼业代理	未知	 	
吉县邮政局	保险兼业代理	未知	 	
乡宁县邮政局	保险兼业代理	未知	 	
曲沃县邮政局	保险兼业代理	未知	 	
山西省邮政公司晋城市分公司	保险兼业代理	未知	 	
介休市邮政局	保险兼业代理	未知	 	
山西省平遥县邮政局	保险兼业代理	未知	 	
古交市邮政局	保险兼业代理	未知	 	
交城县邮政局	保险兼业代理	未知	 	
和顺县邮政局	保险兼业代理	未知	 	
翼城县邮政局	保险兼业代理	未知	 	
山西省邮政公司临汾市分公司	保险兼业代理	未知	 	
清徐县邮政局	保险兼业代理	未知	 	
阳曲县农村信用合社联社	保险兼业代理	未知	 	
大同市新荣区农村信用合作联社	保险兼业代理	未知	 	
阳泉市郊区农村信用合作联社	保险兼业代理	未知	 	
平顺县农村信用合作联社	保险兼业代理	未知	 	
黎城县农村信用合作联社	保险兼业代理	未知	 	
武乡县农村信用合作联社	保险兼业代理	未知	 	
阳城县农村信用合作联社	保险兼业代理	未知	 	
朔州市平鲁区农村信用合作联社	保险兼业代理	未知	 	
大同县农村信用合作联社	保险兼业代理	未知	 	
交城县农村信用合作联社	保险兼业代理	未知	 	
兴县农村信用合作联社	保险兼业代理	未知	 	
临县农村信用合作联社	保险兼业代理	未知	 	
石楼县农村信用合作联社	保险兼业代理	未知	 	
岚县农村信用合作联社	保险兼业代理	未知	 	
左权县农村信用合作联社（有限责任公司）	保险兼业代理	未知	 	
太谷县农村信用合作联社	保险兼业代理	未知	 	
介休市农村信用合作联社	保险兼业代理	未知	 	
山西侯马农村商业银行股份有限公司	保险兼业代理	未知	 	
永济市农村信用合作联社	保险兼业代理	未知	 	
稷山县农村信用合作联社	保险兼业代理	未知	 	
平陆县农村信用合作联社	保险兼业代理	未知	 	
陵川县农村信用合作联社	保险兼业代理	未知	 	
绛县农村信用合作联社	保险兼业代理	未知	 	
长治市郊区农村信用合作联社	保险兼业代理	未知	 	
娄烦县农村信用合作联社	保险兼业代理	未知	 	
沁县农村信用合作联社	保险兼业代理	未知	 	
山阴县农村信用合作联社	保险兼业代理	未知	 	
平定县农村信用合作联社	保险兼业代理	未知	 	
芮城县农村信用合作联社	保险兼业代理	未知	 	
方山县信用合作联社	保险兼业代理	未知	 	
和顺县农村信用合作联社	保险兼业代理	未知	 	
朔州市朔城区农村信用合作联社	保险兼业代理	未知	 	
沁水县农村信用合作联社	保险兼业代理	未知	 	
昔阳县农村信用合作联社	保险兼业代理	未知	 	
祁县农村信用合作联社	保险兼业代理	未知	 	
襄汾县农村信用合作联社	保险兼业代理	未知	 	
榆社县农村信用合作联社	保险兼业代理	未知	 	
长治县农村信用合作联社	保险兼业代理	未知	 	
泽州县农村信用合作联社	保险兼业代理	未知	 	
中国农业银行股份有限公司应县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司朔州朔城支行	保险兼业代理	未知	 	
中国农业银行股份有限公司怀仁县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司朔州洪涛支行	保险兼业代理	未知	 	
中国农业银行股份有限公司朔州桑干河支行	保险兼业代理	未知	 	
中国农业银行股份有限公司朔州平鲁支行	保险兼业代理	未知	 	
中国农业银行股份有限公司右玉县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省阳曲县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司平顺县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司武乡县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司沁源县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋城凤城支行	保险兼业代理	未知	 	
中国农业银行股份有限公司阳高县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司五台县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司吕梁龙凤支行	保险兼业代理	未知	 	
中国农业银行股份有限公司兴县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司岚县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋中迎宾支行	保险兼业代理	未知	 	
中国农业银行股份有限公司翼城县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司浮山县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司吉县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司永和县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司汾西县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司河津市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司绛县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司平陆县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省古交市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司襄垣县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司泽州县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司繁峙县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司静乐县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司神池县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司河曲县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原晋阳支行	保险兼业代理	未知	 	
中国农业银行股份有限公司长治金穗支行	保险兼业代理	未知	 	
中国农业银行股份有限公司阳泉郊区支行	保险兼业代理	未知	 	
中国农业银行股份有限公司和顺县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司新绛县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司汾阳市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司天镇县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同鼓楼支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同泰和支行	保险兼业代理	未知	 	
中国农业银行股份有限公司运城禹都支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋城凤建支行	保险兼业代理	未知	 	
中国农业银行股份有限公司永济市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司临汾金穗支行	保险兼业代理	未知	 	
中国农业银行股份有限公司偏关县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司岢岚县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市柳南支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市并州支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原国贸支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市府西支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市河西支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原开化支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市金穗支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市龙城支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原高新技术开发区支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市城西支行	保险兼业代理	未知	 	
中国农业银行股份有限公司山西省清徐县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同北城支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同红旗支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同南郊支行	保险兼业代理	未知	 	
中国农业银行股份有限公司阳泉泉中支行	保险兼业代理	未知	 	
中国农业银行股份有限公司阳泉矿区支行	保险兼业代理	未知	 	
中国农业银行股份有限公司平定县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司盂县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司长治潞丰支行	保险兼业代理	未知	 	
中国农业银行股份有限公司长治永泰支行	保险兼业代理	未知	 	
中国农业银行股份有限公司长治潞安支行	保险兼业代理	未知	 	
中国农业银行股份有限公司长治郊区支行	保险兼业代理	未知	 	
中国农业银行股份有限公司潞城市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司沁县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋城市分行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋城金穗支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋城城区支行	保险兼业代理	未知	 	
中国农业银行股份有限公司沁水县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司阳城县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司阳城县北留支行	保险兼业代理	未知	 	
中国农业银行股份有限公司高平市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司左云县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司忻州忻府支行	保险兼业代理	未知	 	
中国农业银行股份有限公司原平市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司代县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司交城县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司临县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司柳林县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司方山县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司中阳县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋中分行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋中道北支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋中金穗支行	保险兼业代理	未知	 	
中国农业银行股份有限公司晋中中都支行	保险兼业代理	未知	 	
中国农业银行股份有限公司榆社县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司左权县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太谷县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司祁县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司介休市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司灵石县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司临汾分行	保险兼业代理	未知	 	
中国农业银行股份有限公司临汾平阳支行	保险兼业代理	未知	 	
中国农业银行股份有限公司临汾尧都支行	保险兼业代理	未知	 	
中国农业银行股份有限公司侯马市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司霍州市支行	保险兼业代理	未知	 	
中国农业银行股份有限公司安泽县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司乡宁县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司蒲县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大宁县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司隰县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司运城北城支行	保险兼业代理	未知	 	
中国农业银行股份有限公司运城河东支行	保险兼业代理	未知	 	
中国农业银行股份有限公司运城盐湖支行	保险兼业代理	未知	 	
中国农业银行股份有限公司芮城县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司临猗县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司万荣县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司稷山县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司垣曲县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司保德县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司石楼县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司交口县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司古县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司陵川县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司太原市城南支行	保险兼业代理	未知	 	
中国农业银行股份有限公司五寨县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司平遥县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司闻喜县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同市分行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同新胜支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同城区支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同振兴支行	保险兼业代理	未知	 	
中国农业银行股份有限公司大同振华支行	保险兼业代理	未知	 	
中国农业银行股份有限公司黎城县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司长子县支行	保险兼业代理	未知	 	
中国农业银行股份有限公司吕梁石州支行	保险兼业代理	未知	 	
中国农业发展银行浑源县支行	保险兼业代理	未知	 	
中国农业发展银行高平市支行	保险兼业代理	未知	 	
中国农业发展银行新绛县支行	保险兼业代理	未知	 	
中国农业发展银行原平市支行	保险兼业代理	未知	 	
中国农业发展银行寿阳县支行	保险兼业代理	未知	 	
中国农业发展银行平遥县支行	保险兼业代理	未知	 	
中国农业发展银行万荣县支行	保险兼业代理	未知	 	
中国民生银行股份有限公司太原分行	保险兼业代理	未知	 	
交通银行股份有限公司晋城分行	保险兼业代理	未知	 	
交通银行股份有限公司山西省分行	保险兼业代理	未知	 	
交通银行股份有限公司太原五一路支行	保险兼业代理	未知	 	
交通银行股份有限公司太原河西支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原住房支行	保险兼业代理	未知	 	
中国建设银行股份有限公司朔州住房城市建设支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋中榆次支行	保险兼业代理	未知	 	
中国建设银行股份有限公司侯马支行	保险兼业代理	未知	 	
中国建设银行股份有限公司翼城支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原阳曲分理处	保险兼业代理	未知	 	
中国建设银行股份有限公司陵川支行	保险兼业代理	未知	 	
中国建设银行股份有限公司河曲支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋城龙信支行	保险兼业代理	未知	 	
中国建设银行股份有限公司朔州鄯阳街支行	保险兼业代理	未知	 	
中国建设银行股份有限公司运城住房城市建设支行	保险兼业代理	未知	 	
中国建设银行股份有限公司临汾住房城市建设支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太谷支行	保险兼业代理	未知	 	
中国建设银行股份有限公司绛县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原新建路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司偏关支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原水西支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原龙信支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原开发区支行	保险兼业代理	未知	 	
中国建设银行股份有限公司稷山支行	保险兼业代理	未知	 	
中国建设银行股份有限公司平遥支行	保险兼业代理	未知	 	
中国建设银行股份有限公司山西铝厂支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原柴村支行	保险兼业代理	未知	 	
中国建设银行股份有限公司清徐支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋城经济技术开发支行	保险兼业代理	未知	 	
中国建设银行股份有限公司泽州支行	保险兼业代理	未知	 	
中国建设银行股份有限公司沁水支行	保险兼业代理	未知	 	
中国建设银行股份有限公司朔州分行	保险兼业代理	未知	 	
中国建设银行股份有限公司朔州平朔露矿分理处	保险兼业代理	未知	 	
中国建设银行股份有限公司平鲁支行	保险兼业代理	未知	 	
中国建设银行股份有限公司代县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋中分行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋中铁道支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋中经纬支行	保险兼业代理	未知	 	
中国建设银行股份有限公司榆社县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司左权支行	保险兼业代理	未知	 	
中国建设银行股份有限公司和顺支行	保险兼业代理	未知	 	
中国建设银行股份有限公司祁县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司灵石支行	保险兼业代理	未知	 	
中国建设银行股份有限公司临汾尧都支行	保险兼业代理	未知	 	
中国建设银行股份有限公司临汾分行	保险兼业代理	未知	 	
中国建设银行股份有限公司襄汾支行	保险兼业代理	未知	 	
中国建设银行股份有限公司洪洞支行	保险兼业代理	未知	 	
中国建设银行股份有限公司乡宁支行	保险兼业代理	未知	 	
中国建设银行股份有限公司蒲县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司运城分行	保险兼业代理	未知	 	
中国建设银行股份有限公司运城盐湖支行	保险兼业代理	未知	 	
中国建设银行股份有限公司永济支行	保险兼业代理	未知	 	
中国建设银行股份有限公司芮城支行	保险兼业代理	未知	 	
中国建设银行股份有限公司临猗支行	保险兼业代理	未知	 	
中国建设银行股份有限公司新绛支行	保险兼业代理	未知	 	
中国建设银行股份有限公司闻喜支行	保险兼业代理	未知	 	
中国建设银行股份有限公司垣曲支行	保险兼业代理	未知	 	
中国建设银行股份有限公司古交市支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋城住房支行	保险兼业代理	未知	 	
中国建设银行股份有限公司应县支行	保险兼业代理	未知	 	
中国建设银行股份有限公司河津支行	保险兼业代理	未知	 	
中国建设银行股份有限公司山阴支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原南城支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原迎泽支行	保险兼业代理	未知	 	
中国建设银行股份有限公司晋城矿区支行	保险兼业代理	未知	 	
中国建设银行股份有限公司寿阳支行	保险兼业代理	未知	 	
中国建设银行股份有限公司霍州支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原河西支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原火车站支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原建设北路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原并州支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原并州南路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原义井支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原万柏林支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原二营盘支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原城建支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原五一路支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原钢城支行	保险兼业代理	未知	 	
中国建设银行股份有限公司太原并州北路支行	保险兼业代理	未知	 	
